No.,棒の長さ (mm),切断パターン,端材 (mm)
84,3500,855 + 2640,5
85,3500,855 + 2640,5
86,3500,855 + 2640,5
87,3500,855 + 2640,5
88,3500,855 + 2640,5
89,3500,855 + 2640,5
90,3500,855 + 2640,5
91,3500,855 + 2640,5
92,3500,855 + 2640,5
93,3500,855 + 2640,5
94,3500,855 + 2640,5
95,3500,855 + 2640,5
96,3500,855 + 2640,5
97,3500,855 + 2640,5
98,3500,855 + 2640,5
99,3500,855 + 2640,5
100,3500,855 + 2640,5
101,3500,855 + 2640,5
102,3500,855 + 2640,5
103,3500,855 + 2640,5
104,3500,855 + 2640,5
105,3500,855 + 2640,5
106,3500,855 + 2640,5
107,3500,855 + 2640,5
108,6000,820 + 820 + 4350,10
109,6000,820 + 820 + 4350,10
110,6000,820 + 820 + 4350,10
111,6000,820 + 820 + 4350,10
112,6000,770 + 2610 + 2610,10
113,6000,770 + 2610 + 2610,10
114,6000,770 + 2610 + 2610,10
115,6000,770 + 2610 + 2610,10
116,6000,770 + 2610 + 2610,10
117,6000,770 + 2610 + 2610,10
118,6000,770 + 2610 + 2610,10
119,6000,1700 + 1700 + 2590,10
120,6000,1700 + 1700 + 2590,10
121,6000,1700 + 1700 + 2590,10
122,6000,1700 + 1700 + 2590,10
123,6000,1700 + 1700 + 2590,10
124,6000,1680 + 2155 + 2155,10
125,6000,790 + 2590 + 2610,10
126,6000,790 + 2590 + 2610,10
127,6000,790 + 2590 + 2610,10
128,6000,790 + 2590 + 2610,10
129,6000,790 + 2590 + 2610,10
130,6000,790 + 2155 + 3045,10
131,6000,790 + 2155 + 3045,10
132,6000,790 + 2155 + 3045,10
133,6000,790 + 2155 + 3045,10
134,6000,790 + 2155 + 3045,10
135,6000,790 + 2155 + 3045,10
136,6000,790 + 2155 + 3045,10
137,6000,790 + 2155 + 3045,10
138,6000,1680 + 1700 + 2610,10
139,6000,1680 + 1700 + 2610,10
140,6000,1680 + 1700 + 2610,10
141,6000,1680 + 1700 + 2610,10
142,6000,1680 + 1700 + 2610,10
143,6000,1680 + 1700 + 2610,10
144,6000,1680 + 1700 + 2610,10
145,6000,2915 + 3065,20
146,6000,2915 + 3065,20
147,6000,2915 + 3065,20
148,6000,2915 + 3065,20
149,6000,2915 + 3065,20
150,6000,2915 + 3065,20
151,6000,2915 + 3065,20
152,6000,2915 + 3065,20
153,6000,820 + 1715 + 1715 + 1730,20
154,6000,2005 + 3975,20
155,6000,2005 + 3975,20
156,6000,2005 + 3975,20
157,6000,2005 + 3975,20
158,6000,2005 + 3975,20
159,6000,2005 + 3975,20
160,6000,2005 + 3975,20
161,6000,2005 + 3975,20
162,6000,820 + 820 + 1730 + 2610,20
163,6000,820 + 820 + 1730 + 2610,20
164,6000,820 + 820 + 1730 + 2610,20
165,5500,1927 + 3550,23
166,6000,710 + 2610 + 2640,40
167,6000,2410 + 3550,40
168,6000,710 + 1730 + 3520,40
169,6000,710 + 1730 + 3520,40
170,6000,710 + 1730 + 3520,40
171,6000,1620 + 1730 + 2610,40
172,6000,1620 + 1730 + 2610,40
173,6000,1620 + 1730 + 2610,40
174,6000,1620 + 1730 + 2610,40
175,5500,1017 + 4430,53
176,5500,1017 + 4430,53
177,5500,1017 + 4430,53
178,5500,1017 + 4430,53
179,5500,1017 + 4430,53
180,4500,870 + 3585,45
181,4500,870 + 3585,45
182,6000,2610 + 3320,70
183,6000,2610 + 3320,70
184,6000,2610 + 3320,70
185,6000,2610 + 3320,70
186,6000,2610 + 3320,70
187,6000,2610 + 3320,70
188,6000,2610 + 3320,70
189,6000,2610 + 3320,70
190,6000,2610 + 3320,70
191,6000,2610 + 3320,70
192,6000,2610 + 3320,70
193,6000,2610 + 3320,70
194,6000,2610 + 3320,70
195,6000,2610 + 3320,70
196,6000,2610 + 3320,70
197,6000,2610 + 3320,70
198,6000,2610 + 3320,70
199,6000,2610 + 3320,70
200,6000,2610 + 3320,70
201,6000,2610 + 3320,70
202,6000,2610 + 3320,70
203,6000,2610 + 3320,70
204,6000,2610 + 3320,70
205,6000,2610 + 3320,70
206,6000,2410 + 3520,70
207,6000,2410 + 3520,70
208,6000,2410 + 3520,70
209,6000,2410 + 3520,70
210,6000,2410 + 3520,70
211,6000,2410 + 3520,70
212,6000,2410 + 3520,70
213,6000,2410 + 3520,70
214,6000,2410 + 3520,70
215,6000,2410 + 3520,70
216,6000,2410 + 3520,70
217,6000,2410 + 3520,70
218,6000,2410 + 3520,70
219,6000,2410 + 3520,70
220,6000,2410 + 3520,70
221,4500,4430,70
222,4500,4430,70
223,4500,4430,70
224,4500,4430,70
225,4500,4430,70
226,4500,4430,70
227,4500,4430,70
228,5500,2690 + 2690,120
229,6000,590 + 1730 + 3535,145
230,6000,590 + 1730 + 3535,145
231,6000,590 + 1730 + 3535,145
232,6000,590 + 1730 + 3535,145
233,6000,590 + 1730 + 3535,145
234,6000,590 + 1730 + 3535,145
235,5500,1780 + 3585,135
236,5500,1780 + 3585,135
237,5500,1780 + 3585,135
238,5500,1780 + 3585,135
239,5500,1780 + 3585,135
240,5500,1780 + 3585,135
241,5500,1780 + 3585,135
242,5500,1780 + 3585,135
243,5500,1780 + 3585,135
244,5500,1780 + 3585,135
245,5500,1780 + 3585,135
246,5500,1780 + 3585,135
247,5500,1780 + 3585,135
248,6000,590 + 1730 + 3520,160
249,6000,590 + 1730 + 3520,160
250,5500,2675 + 2675,150
251,5500,2675 + 2675,150
252,5500,2675 + 2675,150
253,5500,2675 + 2675,150
254,5500,2675 + 2675,150
255,5500,2675 + 2675,150
256,5500,2675 + 2675,150
257,5500,2675 + 2675,150
258,5500,2675 + 2675,150
259,5500,2675 + 2675,150
260,5500,2675 + 2675,150
261,5500,2675 + 2675,150
262,5500,2675 + 2675,150
263,5500,2675 + 2675,150
264,5500,2675 + 2675,150
265,5500,2675 + 2675,150
266,5500,2675 + 2675,150
267,5500,2675 + 2675,150
268,5500,2675 + 2675,150
269,5500,2675 + 2675,150
270,5500,2675 + 2675,150
271,5500,2675 + 2675,150
272,5500,2675 + 2675,150
273,5500,2675 + 2675,150
274,5500,2675 + 2675,150
275,5500,2675 + 2675,150
276,5500,2675 + 2675,150
277,5500,2675 + 2675,150
278,5500,2675 + 2675,150
279,5500,2675 + 2675,150
280,5500,2675 + 2675,150
281,5500,2675 + 2675,150
282,5500,2675 + 2675,150
283,5500,2675 + 2675,150
284,5500,2675 + 2675,150
285,5500,2675 + 2675,150
286,5500,1765 + 3585,150
287,5500,1765 + 3585,150
288,5500,1765 + 3585,150
289,5500,1765 + 3585,150
290,5500,1765 + 3585,150
291,5500,1765 + 3585,150
292,5500,1765 + 3585,150
293,5500,1765 + 3585,150
294,5500,1765 + 3585,150
295,5500,1765 + 3585,150
296,5500,1765 + 3585,150
297,5500,1765 + 3585,150
298,5500,1765 + 3585,150
299,5500,1765 + 3585,150
300,5500,1765 + 3585,150
301,5500,1765 + 3585,150
302,5500,1765 + 3585,150
303,5500,1765 + 3585,150
304,5500,1765 + 3585,150
305,5500,1765 + 3585,150
306,6000,2610 + 3220,170
307,6000,2610 + 3220,170
308,6000,2610 + 3220,170
309,6000,2610 + 3220,170
310,5500,2640 + 2690,170
311,5500,1780 + 3550,170
312,5500,1780 + 3550,170
313,5500,1780 + 3550,170
314,5500,1780 + 3550,170
315,5500,1780 + 3550,170
316,5500,1780 + 3550,170
317,5500,1780 + 3550,170
318,5500,1780 + 3550,170
319,5500,1780 + 3550,170
320,5500,1780 + 3550,170
321,5500,1780 + 3550,170
322,5500,1780 + 3550,170
323,5500,1780 + 3550,170
324,5500,1780 + 3550,170
325,5500,1780 + 3550,170
326,5500,1780 + 3550,170
327,5500,1780 + 3550,170
328,5500,1780 + 3550,170
329,5500,1780 + 3550,170
330,5500,1780 + 3550,170
331,5500,1780 + 3550,170
332,5500,1780 + 3550,170
333,5500,1780 + 3550,170
334,5500,1780 + 3550,170
335,5500,1780 + 3550,170
336,5500,1780 + 3550,170
337,5500,1780 + 3550,170
338,5500,1780 + 3550,170
339,5500,1780 + 3550,170
340,5500,1780 + 3550,170
341,5500,1780 + 3550,170
342,5500,1780 + 3550,170
343,5500,1780 + 3550,170
344,5500,1780 + 3550,170
345,5500,1780 + 3550,170
346,6000,2640 + 3130,230
347,6000,2640 + 3130,230
348,6000,2640 + 3130,230
349,6000,2640 + 3130,230
350,6000,2640 + 3130,230
351,6000,2640 + 3130,230
352,6000,2640 + 3130,230
353,6000,2640 + 3130,230
354,6000,2640 + 3130,230
355,5500,2640 + 2640,220
356,5500,2640 + 2640,220
357,5500,2640 + 2640,220
358,5500,2640 + 2640,220
359,5500,2640 + 2640,220
360,5500,2640 + 2640,220
361,5500,2640 + 2640,220
362,5500,2640 + 2640,220
363,5500,2640 + 2640,220
364,5500,2640 + 2640,220
365,5500,2640 + 2640,220
366,5500,2640 + 2640,220
367,5500,2640 + 2640,220
368,5500,2640 + 2640,220
369,5500,2640 + 2640,220
370,5500,2640 + 2640,220
371,5500,2640 + 2640,220
372,5500,2640 + 2640,220
373,5500,2640 + 2640,220
374,5500,1730 + 3550,220
375,5500,1730 + 3550,220
376,5500,1730 + 3550,220
377,6000,2235 + 3520,245
378,6000,2235 + 3520,245
379,6000,2235 + 3520,245
380,6000,2235 + 3520,245
381,6000,2235 + 3520,245
382,6000,2235 + 3520,245
383,6000,2235 + 3520,245
384,6000,2235 + 3520,245
385,6000,2235 + 3520,245
386,6000,2235 + 3520,245
387,6000,2235 + 3520,245
388,6000,2235 + 3520,245
389,6000,2235 + 3520,245
390,6000,2235 + 3520,245
391,6000,2235 + 3520,245
392,6000,2235 + 3520,245
393,6000,2235 + 3520,245
394,6000,2235 + 3520,245
395,6000,2235 + 3520,245
396,6000,2235 + 3520,245
397,6000,2235 + 3520,245
398,6000,2235 + 3520,245
399,6000,2235 + 3520,245
400,6000,2235 + 3520,245
401,6000,2220 + 3520,260
402,6000,2220 + 3520,260
403,6000,2220 + 3520,260
404,6000,2220 + 3520,260
405,6000,2220 + 3520,260
406,6000,2220 + 3520,260
407,6000,2200 + 3520,280
408,6000,2200 + 3520,280
409,6000,2200 + 3520,280
410,6000,2200 + 3520,280
411,6000,2155 + 3550,295
412,6000,2155 + 3550,295
413,6000,2185 + 3520,295
414,6000,2185 + 3520,295
415,6000,2185 + 3520,295
416,6000,2185 + 3520,295
417,6000,2185 + 3520,295
418,6000,2185 + 3520,295
419,6000,2185 + 3520,295
420,6000,2185 + 3520,295
421,6000,2170 + 3520,310
422,6000,2170 + 3520,310
423,6000,2170 + 3520,310
424,6000,2170 + 3520,310
425,6000,2170 + 3520,310
426,6000,2170 + 3520,310
427,6000,2610 + 3080,310
428,6000,2610 + 3080,310
